JourneyID,CustomerID,ProductID,VisitDate,Stage,Action,Duration
2040,1,1,2023-03-11,HOMEPAGE,Click,26
3077,1,1,2024-03-18,HOMEPAGE,View,66
3388,1,1,2024-06-28,HOMEPAGE,Click,18
577,1,1,2025-12-17,HOMEPAGE,Click,115
3312,1,2,2023-03-03,PRODUCTPAGE,View,40
3696,1,2,2024-02-10,PRODUCTPAGE,View,231
2124,1,3,2023-09-23,PRODUCTPAGE,View,161
1548,1,3,2024-11-06,HOMEPAGE,View,238
2696,1,3,2025-07-09,PRODUCTPAGE,View,110
3344,1,5,2023-07-20,CHECKOUT,Drop-off,187.6
2490,1,6,2023-02-19,PRODUCTPAGE,View,196
1929,1,6,2025-06-25,CHECKOUT,Drop-off,185.4
55,1,7,2024-03-17,CHECKOUT,Drop-off,226
2271,1,7,2025-09-17,CHECKOUT,Drop-off,209
2187,1,9,2024-10-23,CHECKOUT,Purchase,10
1451,1,9,2025-01-25,CHECKOUT,Drop-off,144
2473,1,10,2023-02-12,CHECKOUT,Purchase,271
1649,1,10,2023-06-21,CHECKOUT,Drop-off,74.75
380,1,11,2023-05-29,CHECKOUT,Drop-off,198
2265,1,11,2024-09-01,HOMEPAGE,View,15
3803,1,11,2025-08-10,PRODUCTPAGE,View,283
685,1,12,2023-07-11,HOMEPAGE,View,22
1904,1,14,2025-11-15,HOMEPAGE,View,110
3174,1,15,2023-05-01,HOMEPAGE,View,239
2556,1,15,2024-06-15,PRODUCTPAGE,View,125
2103,1,17,2024-01-29,HOMEPAGE,Click,211
3666,1,17,2024-03-07,HOMEPAGE,Click,233
1836,1,17,2025-02-21,HOMEPAGE,View,289
2024,1,18,2025-09-09,PRODUCTPAGE,View,114
762,1,19,2024-06-07,CHECKOUT,Drop-off,46
2072,1,20,2023-05-29,CHECKOUT,Drop-off,198
816,1,20,2023-12-17,HOMEPAGE,Click,71
2547,1,20,2024-01-10,PRODUCTPAGE,Click,70
561,1,20,2025-07-04,HOMEPAGE,Click,225
28,1,20,2025-09-26,PRODUCTPAGE,View,64
