EngagementID,ContentID,CampaignID,ProductID,ContentType,Views,Clicks,Likes,EngagementDate
1,39,1,9,BLOG,1883,671,190,30.08.2023
2,48,18,20,BLOG,5280,532,114,28.03.2023
3,16,7,14,VIDEO,1905,204,32,08.12.2023
4,43,19,20,VIDEO,2766,257,17,21.01.2025
6,32,18,19,SOCIAL MEDIA,8237,1641,648,18.06.2023
7,33,12,2,SOCIAL MEDIA,750,34,1,01.10.2025
8,47,17,6,BLOG,891,35,1,31.03.2025
9,48,13,16,BLOG,5571,1527,123,19.03.2024
10,4,15,15,BLOG,4279,297,25,03.12.2023
11,38,19,6,SOCIAL MEDIA,4297,234,29,26.05.2024
12,29,3,10,SOCIAL MEDIA,7877,2037,396,15.06.2023
13,14,12,18,VIDEO,1796,136,12,04.02.2025
14,2,16,2,SOCIAL MEDIA,6837,2251,317,26.08.2023
15,16,6,19,SOCIAL MEDIA,36,1,0,20.10.2025
16,2,17,16,SOCIAL MEDIA,5980,1227,276,06.07.2023
17,35,18,10,BLOG,563,104,9,17.05.2024
18,12,19,8,VIDEO,321,15,0,26.10.2024
20,35,4,6,BLOG,41,7,0,07.10.2024
21,26,1,6,BLOG,1037,111,7,28.12.2024
22,11,12,16,VIDEO,5543,1288,357,04.04.2024
26,31,20,20,VIDEO,1742,71,2,04.06.2025
27,42,4,3,VIDEO,3225,337,72,27.07.2024
28,29,2,16,SOCIAL MEDIA,165,48,7,22.12.2023
29,15,17,20,VIDEO,58,2,0,02.08.2025
31,1,4,4,SOCIAL MEDIA,1079,44,2,10.06.2025
32,37,19,16,BLOG,441,9,0,04.11.2025
33,44,1,7,BLOG,1415,76,3,21.06.2025
34,1,11,4,SOCIAL MEDIA,1223,127,29,18.04.2023
35,2,13,15,VIDEO,704,17,1,26.07.2025
37,32,7,1,VIDEO,9759,3095,400,24.01.2023
39,24,11,11,VIDEO,4881,1204,373,02.09.2023
40,18,4,4,VIDEO,3222,793,215,02.04.2024
41,8,2,12,SOCIAL MEDIA,4654,1083,193,01.06.2024
42,16,17,8,BLOG,6771,2617,840,23.07.2023
45,9,15,12,BLOG,797,103,4,19.10.2024
46,5,1,1,BLOG,2549,228,11,29.09.2024
47,41,3,12,VIDEO,1145,130,33,08.06.2024
48,19,17,8,VIDEO,1648,163,15,26.01.2025
50,43,15,14,SOCIAL MEDIA,1066,110,11,23.06.2024
52,41,3,15,BLOG,1617,70,3,22.04.2025
53,41,16,15,VIDEO,599,39,2,20.09.2024
54,40,13,17,BLOG,706,34,0,22.09.2025
55,50,18,6,BLOG,2387,201,18,01.04.2025
56,24,10,5,SOCIAL MEDIA,922,39,1,19.12.2025
57,8,7,20,VIDEO,944,91,3,12.01.2025
58,2,17,9,VIDEO,578,11,0,07.11.2025
59,37,10,1,VIDEO,219,7,0,17.07.2025
60,1,19,7,SOCIAL MEDIA,404,15,0,15.10.2025
61,47,16,7,BLOG,2847,528,72,24.01.2024
62,15,18,10,SOCIAL MEDIA,1521,33,2,29.05.2025
64,49,1,15,VIDEO,111,3,0,03.12.2025
65,3,14,12,BLOG,524,94,30,05.10.2023
66,28,4,5,VIDEO,1493,141,23,12.09.2024
68,33,3,19,VIDEO,239,43,5,20.10.2024
69,50,2,8,BLOG,2935,303,68,11.05.2024
70,12,12,11,SOCIAL MEDIA,228,49,10,30.04.2024
71,37,11,14,VIDEO,4368,1156,459,04.03.2023
72,19,17,1,BLOG,6991,2499,657,06.01.2023
73,10,18,3,SOCIAL MEDIA,40,4,0,06.04.2025
75,11,13,18,VIDEO,565,137,12,01.05.2024
76,48,14,3,BLOG,6205,2834,545,11.03.2023
77,26,20,18,SOCIAL MEDIA,1671,482,143,27.08.2023
78,44,17,2,SOCIAL MEDIA,713,44,2,07.06.2025
79,36,9,16,VIDEO,3632,1500,397,26.04.2023
80,15,19,12,VIDEO,1535,243,8,04.01.2025
82,49,8,20,SOCIAL MEDIA,1354,425,142,26.04.2023
83,48,9,2,VIDEO,1933,158,14,20.02.2025
84,24,18,14,SOCIAL MEDIA,6319,832,116,22.05.2023
85,34,18,20,VIDEO,36,3,0,08.05.2025
86,37,3,7,BLOG,1576,45,5,06.04.2025
87,8,2,2,BLOG,3142,602,111,27.07.2024
88,28,12,7,SOCIAL MEDIA,1360,440,121,01.10.2023
89,21,2,13,SOCIAL MEDIA,214,15,1,27.11.2024
90,35,7,9,VIDEO,3338,1402,595,25.05.2023
91,8,7,13,BLOG,379,95,9,26.05.2024
92,35,3,8,VIDEO,516,49,3,21.05.2025
93,23,1,17,SOCIAL MEDIA,2989,1283,147,19.02.2023
94,33,15,17,VIDEO,2595,933,389,18.02.2023
96,17,14,13,BLOG,712,142,32,15.07.2024
97,34,16,7,BLOG,696,47,3,01.07.2025
