DateKey,Date,MonthShort,Day,Month,MonthShort,MonthNo,Quarter,Year
20190101,2019-01-01,Jan,Tuesday,January,Jan,1,1,2019
20190102,2019-01-02,Jan,Wednesday,January,Jan,1,1,2019
20190103,2019-01-03,Jan,Thursday,January,Jan,1,1,2019
20190104,2019-01-04,Jan,Friday,January,Jan,1,1,2019
20190105,2019-01-05,Jan,Saturday,January,Jan,1,1,2019
20190106,2019-01-06,Jan,Sunday,January,Jan,1,1,2019
20190107,2019-01-07,Jan,Monday,January,Jan,1,1,2019
20190108,2019-01-08,Jan,Tuesday,January,Jan,1,1,2019
20190109,2019-01-09,Jan,Wednesday,January,Jan,1,1,2019
20190110,2019-01-10,Jan,Thursday,January,Jan,1,1,2019
20190111,2019-01-11,Jan,Friday,January,Jan,1,1,2019
20190112,2019-01-12,Jan,Saturday,January,Jan,1,1,2019
20190113,2019-01-13,Jan,Sunday,January,Jan,1,1,2019
20190114,2019-01-14,Jan,Monday,January,Jan,1,1,2019
20190115,2019-01-15,Jan,Tuesday,January,Jan,1,1,2019
20190116,2019-01-16,Jan,Wednesday,January,Jan,1,1,2019
20190117,2019-01-17,Jan,Thursday,January,Jan,1,1,2019
20190118,2019-01-18,Jan,Friday,January,Jan,1,1,2019
20190119,2019-01-19,Jan,Saturday,January,Jan,1,1,2019
20190120,2019-01-20,Jan,Sunday,January,Jan,1,1,2019
20190121,2019-01-21,Jan,Monday,January,Jan,1,1,2019
20190122,2019-01-22,Jan,Tuesday,January,Jan,1,1,2019
20190123,2019-01-23,Jan,Wednesday,January,Jan,1,1,2019
20190124,2019-01-24,Jan,Thursday,January,Jan,1,1,2019
20190125,2019-01-25,Jan,Friday,January,Jan,1,1,2019
20190126,2019-01-26,Jan,Saturday,January,Jan,1,1,2019
20190127,2019-01-27,Jan,Sunday,January,Jan,1,1,2019
20190128,2019-01-28,Jan,Monday,January,Jan,1,1,2019
20190129,2019-01-29,Jan,Tuesday,January,Jan,1,1,2019
20190130,2019-01-30,Jan,Wednesday,January,Jan,1,1,2019
20190131,2019-01-31,Jan,Thursday,January,Jan,1,1,2019
20190201,2019-02-01,Feb,Friday,February,Feb,2,1,2019
20190202,2019-02-02,Feb,Saturday,February,Feb,2,1,2019
20190203,2019-02-03,Feb,Sunday,February,Feb,2,1,2019
20190204,2019-02-04,Feb,Monday,February,Feb,2,1,2019
20190205,2019-02-05,Feb,Tuesday,February,Feb,2,1,2019
20190206,2019-02-06,Feb,Wednesday,February,Feb,2,1,2019
20190207,2019-02-07,Feb,Thursday,February,Feb,2,1,2019
20190208,2019-02-08,Feb,Friday,February,Feb,2,1,2019
20190209,2019-02-09,Feb,Saturday,February,Feb,2,1,2019
20190210,2019-02-10,Feb,Sunday,February,Feb,2,1,2019
20190211,2019-02-11,Feb,Monday,February,Feb,2,1,2019
20190212,2019-02-12,Feb,Tuesday,February,Feb,2,1,2019
20190213,2019-02-13,Feb,Wednesday,February,Feb,2,1,2019
20190214,2019-02-14,Feb,Thursday,February,Feb,2,1,2019
20190215,2019-02-15,Feb,Friday,February,Feb,2,1,2019
20190216,2019-02-16,Feb,Saturday,February,Feb,2,1,2019
20190217,2019-02-17,Feb,Sunday,February,Feb,2,1,2019
20190218,2019-02-18,Feb,Monday,February,Feb,2,1,2019
20190219,2019-02-19,Feb,Tuesday,February,Feb,2,1,2019
20190220,2019-02-20,Feb,Wednesday,February,Feb,2,1,2019
20190221,2019-02-21,Feb,Thursday,February,Feb,2,1,2019
20190222,2019-02-22,Feb,Friday,February,Feb,2,1,2019
20190223,2019-02-23,Feb,Saturday,February,Feb,2,1,2019
20190224,2019-02-24,Feb,Sunday,February,Feb,2,1,2019
20190225,2019-02-25,Feb,Monday,February,Feb,2,1,2019
20190226,2019-02-26,Feb,Tuesday,February,Feb,2,1,2019
20190227,2019-02-27,Feb,Wednesday,February,Feb,2,1,2019
20190228,2019-02-28,Feb,Thursday,February,Feb,2,1,2019
20190301,2019-03-01,Mar,Friday,March,Mar,3,1,2019
20190302,2019-03-02,Mar,Saturday,March,Mar,3,1,2019
20190303,2019-03-03,Mar,Sunday,March,Mar,3,1,2019
20190304,2019-03-04,Mar,Monday,March,Mar,3,1,2019
20190305,2019-03-05,Mar,Tuesday,March,Mar,3,1,2019
20190306,2019-03-06,Mar,Wednesday,March,Mar,3,1,2019
20190307,2019-03-07,Mar,Thursday,March,Mar,3,1,2019
20190308,2019-03-08,Mar,Friday,March,Mar,3,1,2019
20190309,2019-03-09,Mar,Saturday,March,Mar,3,1,2019
20190310,2019-03-10,Mar,Sunday,March,Mar,3,1,2019
20190311,2019-03-11,Mar,Monday,March,Mar,3,1,2019
20190312,2019-03-12,Mar,Tuesday,March,Mar,3,1,2019
20190313,2019-03-13,Mar,Wednesday,March,Mar,3,1,2019
20190314,2019-03-14,Mar,Thursday,March,Mar,3,1,2019
20190315,2019-03-15,Mar,Friday,March,Mar,3,1,2019
20190316,2019-03-16,Mar,Saturday,March,Mar,3,1,2019
